name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington dc,2011-01-11,0.9,-2.5,-0.8,0.9,-6.3,-2.9,-6.4,67.2,2.13,100,25,"rain,snow",,,,11.6,163.3,1020.9,96.5,12.4,69.9,6,3,,2011-01-11T07:26:29,2011-01-11T17:05:48,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-12,1.7,-3.1,-0.6,-3.4,-8.4,-5.6,-7.2,63.1,0,0,0,,,3,65.1,38.9,274.1,1013,77.1,15.8,92.4,8.1,4,,2011-01-12T07:26:15,2011-01-12T17:06:49,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-13,2.7,-3.1,-0.9,-1.9,-8.4,-6.3,-10.7,47.8,0,0,0,,,,51.1,29.2,311,1025.6,38.1,16,120.1,10.2,5,,2011-01-13T07:25:59,2011-01-13T17:07:51,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-14,2.7,-4.1,-1.3,0.4,-9.3,-4,-9.6,54.2,0,0,0,,,,38.1,25.1,255.6,1029.3,68.5,16,110.1,9.6,5,,2011-01-14T07:25:41,2011-01-14T17:08:54,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-15,7.8,-2.5,2.5,5.5,-6,0.2,-7.1,50.7,0,0,0,,,,27.7,19.8,153.9,1019.9,85.7,16,111.6,9.7,5,,2011-01-15T07:25:21,2011-01-15T17:09:58,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-16,5,-0.3,2.4,3.9,-3.7,-0.8,-7.4,48.9,0,0,0,,,,40.7,23.5,312.8,1020.4,79.8,16,122.1,10.6,5,,2011-01-16T07:24:59,2011-01-16T17:11:02,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-17,0.7,-1.9,-0.3,-2.8,-6.9,-4.2,-8.8,53.9,3.09,100,12.5,"rain,snow",,,,17,58.5,1024.9,99.5,14.9,88.7,7.7,4,,2011-01-17T07:24:35,2011-01-17T17:12:07,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-18,2,-1.2,0.7,1.7,-6.4,-3,-1,88.3,7.27,100,29.17,"rain,snow",,,35.3,21.4,249.5,1011.7,99.7,8.9,57.7,5.1,3,,2011-01-18T07:24:08,2011-01-18T17:13:13,0.49,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-19,10.9,1.7,5.3,10.9,-0.9,3.4,1,76.2,0.28,100,12.5,"rain,snow",,,47.4,30.7,229.1,1010.1,77.8,10.7,123,10.5,5,,2011-01-19T07:23:40,2011-01-19T17:14:20,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-20,6.8,1.8,4,5.7,-2.5,0.8,-4.5,54.3,0,0,0,,,,33.5,25.1,245.9,1016.4,92.1,16,116.1,10,5,,2011-01-20T07:23:10,2011-01-20T17:15:27,0.51,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-21,3.1,-6.1,-0.3,2,-13.5,-5.8,-11.3,46.2,0.31,100,8.33,"rain,snow",,,56.7,38.5,292.3,1009.9,63.2,15.8,141.9,12.3,6,,2011-01-21T07:22:37,2011-01-21T17:16:34,0.52,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-22,-3,-8.2,-6.2,-3.3,-15.6,-10.8,-17.6,41,0,0,0,,,,38.5,25.6,264.8,1016.5,66.8,16,75.3,6.5,3,,2011-01-22T07:22:03,2011-01-22T17:17:42,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-23,-1,-8.3,-4.5,-7.1,-12.9,-9.6,-15.2,45.1,0,0,0,,,,40.3,30.6,291.5,1020.7,50,16,117,10.1,5,,2011-01-23T07:21:27,2011-01-23T17:18:50,0.59,Partially cloudy,Partly cloudy throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-24,-1.1,-8.5,-4.4,-4.9,-13.4,-8.2,-13.4,50,0,0,0,,,,,16.3,131.8,1030.1,53,16,91.3,8,3,,2011-01-24T07:20:49,2011-01-24T17:19:59,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-25,7.1,-2,2,7.1,-6.7,-0.6,-4.7,62.5,0,0,0,,,,,17.6,135.8,1021.7,91.2,16,88.4,7.6,3,,2011-01-25T07:20:08,2011-01-25T17:21:08,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-26,2.8,0.7,1.5,0.3,-5.4,-3.1,-0.3,88.4,30.74,100,75,"rain,snow",,5,46,31.7,137,1009.1,100,5.2,29.7,2.6,2,,2011-01-26T07:19:27,2011-01-26T17:22:17,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-27,2.7,-0.3,1.3,0.9,-4.4,-2.1,-4,68.6,0.01,100,4.17,"rain,snow",,10.7,42.3,32.7,264.3,1012.9,87.3,16,137.5,11.8,6,,2011-01-27T07:18:43,2011-01-27T17:23:26,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-28,3,-1,1.1,1.7,-4.2,-1.5,-2.2,79.3,1.78,100,16.67,"rain,snow",,10,31.3,23.4,208.5,1011.3,97.1,12.3,68.7,6,3,,2011-01-28T07:17:57,2011-01-28T17:24:36,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-29,2.9,-1.4,0.7,2.9,-4.4,-2,-5.1,65.4,0,0,0,,,9,,24,176.1,1015.3,67.8,16,133.9,11.6,6,,2011-01-29T07:17:10,2011-01-29T17:25:45,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-30,5.9,-2.6,1.4,5.9,-3.9,0.2,-3.1,73.1,0,0,0,,,7.3,,17.2,127.1,1021.1,80.6,14,112,9.7,4,,2011-01-30T07:16:21,2011-01-30T17:26:55,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-01-31,2.8,-1.2,-0.4,-0.8,-6.6,-4.1,-7.1,60.9,0.04,100,4.17,"rain,snow",,5,113,21.3,44.2,1030.3,91.1,15.8,119.5,10.3,5,,2011-01-31T07:15:30,2011-01-31T17:28:05,0.97,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-01,3,-2,0.4,3,-3.9,-0.6,-2.1,83.8,1.11,100,4.17,"rain,snow",,5,,12.7,131.1,1023.8,99.6,9.7,53.7,4.6,2,,2011-02-01T07:14:37,2011-02-01T17:29:15,0.99,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-02,11,1,4.1,11,-3.6,1.1,-0.1,77.4,16.22,100,37.5,"rain,snow",,3,62.5,37.6,207.9,1011.8,75.3,10.3,134.3,11.7,6,,2011-02-02T07:13:43,2011-02-02T17:30:25,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-03,2,-1.9,0.2,0.6,-8.3,-4.3,-10.6,44.5,0,0,0,,,,58.7,33.7,287.8,1028.8,76,16,143.1,12.2,6,,2011-02-03T07:12:47,2011-02-03T17:31:35,0,Partially cloudy,Partly cloudy throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-04,5.6,-2.4,1.3,2.7,-5.5,-0.9,-6.2,58.1,0.14,100,4.17,"rain,snow",,,,15.9,192.9,1025.9,89.9,16,77,6.6,3,,2011-02-04T07:11:50,2011-02-04T17:32:44,0.01,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-05,5.8,1,2.6,2.5,-1.3,0.3,1.5,93.2,3.26,100,37.5,"rain,snow",,,55.4,18.4,141.4,1008.9,90.2,8.9,36.1,3.2,2,,2011-02-05T07:10:51,2011-02-05T17:33:54,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-06,8.2,2.7,5.1,8,-1.3,3,-2.7,57.5,0.04,100,4.17,rain,,,40.7,26.8,206.5,1014.4,57.8,16,162,13.8,6,,2011-02-06T07:09:50,2011-02-06T17:35:04,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-07,10,-1.1,4.4,9.4,-1.1,3.8,0,74.7,0,0,0,,,,,10.5,83,1013.6,72.9,15,125.5,10.9,6,,2011-02-07T07:08:48,2011-02-07T17:36:13,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-08,5,-3.3,2,4.9,-9.8,-3,-7.2,53.9,0.66,100,33.33,"rain,snow",,,55.2,38,273,1013.7,68,15.9,151,13.2,6,,2011-02-08T07:07:45,2011-02-08T17:37:23,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-09,0.7,-6.9,-2.6,-3.6,-11.7,-6.9,-12.3,49.5,0.31,100,8.33,"rain,snow",,,38.3,23.6,234.2,1024.9,64.2,14.7,107,9.3,5,,2011-02-09T07:06:40,2011-02-09T17:38:32,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-10,0.9,-4.2,-1.9,-2.3,-11.3,-6.3,-13.1,45,0,0,0,,,,46.4,27.6,274.9,1020,40.8,15.5,178.8,15.3,7,,2011-02-10T07:05:34,2011-02-10T17:39:41,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-11,6.8,-5.4,-0.3,6.1,-8.5,-2,-9.7,52.7,0,0,0,,,,,15.8,118.2,1021.1,15.1,16,182.4,15.5,7,,2011-02-11T07:04:26,2011-02-11T17:40:50,0.26,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-12,8.1,-4.4,1.8,4.9,-7.9,-1,-7.4,55,0,0,0,,,,50.2,34.3,221,1017.5,40.7,16,175,15.1,7,,2011-02-12T07:03:17,2011-02-12T17:41:58,0.31,Partially cloudy,Partly cloudy throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-13,12.1,0.5,6.4,12.1,-2.7,5,-5,47.1,0,0,0,,,,46.4,31.1,205.8,1017.9,78.6,16,152.5,13.2,7,,2011-02-13T07:02:07,2011-02-13T17:43:06,0.36,Partially cloudy,Partly cloudy throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-14,20.8,6.7,11.7,20.8,2.1,9.8,-3.1,37.4,1.87,100,37.5,rain,,,71.3,43.6,250,1007.9,40,16,180.4,15.5,7,,2011-02-14T07:00:55,2011-02-14T17:44:14,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-15,7.8,0.7,4.1,5.8,-4.8,0.4,-11.8,31.8,0.72,100,16.67,rain,,,73.5,50.5,278.3,1027.2,35.1,16,191.1,16.5,7,,2011-02-15T06:59:42,2011-02-15T17:45:22,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-16,14.1,0.4,6.5,14.1,-3.7,4.2,-5.6,43,0,0,0,,,,40.5,27.1,194.8,1027,52.4,16,158.4,13.6,7,,2011-02-16T06:58:28,2011-02-16T17:46:30,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-17,21.1,5.9,12.7,21.1,4,12,2.3,50.5,0,0,0,,,,33.6,25.3,182.4,1020.2,83.8,16,172.3,14.9,7,,2011-02-17T06:57:13,2011-02-17T17:47:37,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-18,24.1,12,17.1,24.1,12,17.1,5.1,51.6,0.11,100,8.33,rain,,,57.2,37.9,223.7,1012.4,62.6,16,148,12.8,6,,2011-02-18T06:55:57,2011-02-18T17:48:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-19,14.9,4.9,10.9,14.9,-0.1,9.4,-12.5,19,7.97,100,83.33,rain,,,85,52.6,301.8,1014.9,9.1,16,197.8,17.2,7,,2011-02-19T06:54:40,2011-02-19T17:49:50,0.51,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-20,8.9,-0.1,4.9,8.9,-4.8,1.9,-7.6,41.1,0.39,100,12.5,"rain,snow",,,59.8,36.9,229.3,1022.4,60.9,16,142.2,12.3,6,,2011-02-20T06:53:21,2011-02-20T17:50:57,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-21,11.8,-0.1,6.1,11.8,-6.5,2.9,-1.7,60.5,1.67,100,25,"rain,snow",,,44.8,29.5,140,1008.1,98.1,14.5,60.2,5.2,3,,2011-02-21T06:52:02,2011-02-21T17:52:03,0.57,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-22,2.8,-3.1,-0.5,-0.6,-9.3,-4.9,-6.6,65.4,2.76,100,20.83,"rain,snow",,,35.3,28.9,197.4,1019.6,92.7,13.9,149,12.7,5,,2011-02-22T06:50:41,2011-02-22T17:53:08,0.62,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-23,7.8,-3.4,1.7,7.8,-7.6,-0.2,-10,43.4,0,0,0,,,,,12.2,155.8,1027.2,31.4,16,199,17.2,7,,2011-02-23T06:49:20,2011-02-23T17:54:14,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-24,11.7,-0.4,5.4,11.7,-3.5,2.6,0.1,69.8,0.82,100,20.83,rain,,,43.9,28.6,179.4,1021.1,64.4,15.7,97.1,8.4,5,,2011-02-24T06:47:58,2011-02-24T17:55:19,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-25,18.9,3.8,9,18.9,-1,6.7,3.8,73.1,18.56,100,66.67,rain,,,92.1,59.1,230,1006,86,11.8,145,12.5,6,,2011-02-25T06:46:35,2011-02-25T17:56:23,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-26,9.1,1.8,5,6.5,-3.2,2.5,-3.8,54.2,0,0,0,,,,37.1,23.5,187.4,1020.7,69.9,16,158.8,13.7,7,,2011-02-26T06:45:11,2011-02-26T17:57:28,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-27,14.8,2.6,7.9,14.8,0,6.9,1.9,68.3,0,0,0,,,,,18,145.5,1015,80.8,16,170.2,14.7,7,,2011-02-27T06:43:46,2011-02-27T17:58:32,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-02-28,21.2,7.1,11.2,21.2,3.1,10.1,9.1,88.3,13.61,100,54.17,rain,,,56,37.1,201.7,1008.2,93.5,11.9,106.2,9.2,5,,2011-02-28T06:42:21,2011-02-28T17:59:36,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-01,7.9,0.8,4.2,7.9,-4.5,1.2,-4.8,53.5,1.39,100,12.5,"rain,snow",,,44,30.9,221.2,1024.3,20.2,16,221,19,8,,2011-03-01T06:40:54,2011-03-01T18:00:39,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-02,17.8,1,7.6,17.8,-2.5,4.9,-4.9,45.5,0.02,100,4.17,rain,,,52.9,35.4,248.4,1023.1,27.1,16,215.4,18.5,8,,2011-03-02T06:39:27,2011-03-02T18:01:42,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-03,4,-3,0.6,4,-10,-3,-14.3,32.6,0,0,0,,,,46.8,31.3,140.5,1036.5,58.6,16,219.8,19,8,,2011-03-03T06:38:00,2011-03-03T18:02:45,1,Partially cloudy,Partly cloudy throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-04,9.1,-1.1,4,7,-4.7,0.9,-3.1,61.5,0,0,0,,,,29.5,20.3,161.5,1036.3,86.8,16,199,17.1,7,,2011-03-04T06:36:31,2011-03-04T18:03:48,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-05,15.2,5,10.3,15.2,1.9,9.1,6.5,78.4,0,0,0,,,,42.5,23.9,176.4,1026.2,97.8,15.8,90.2,7.9,4,,2011-03-05T06:35:03,2011-03-05T18:04:50,0,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-06,14.2,2,10.1,14.2,-4,8.6,9.2,94.4,26.85,100,66.67,"rain,snow",,,55.1,35.2,222.1,1010.3,99.4,13,45.2,3.9,2,,2011-03-06T06:33:33,2011-03-06T18:05:52,0.01,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-07,8.2,0.9,4,4.8,-6.6,-0.6,-5,56.6,0.7,100,16.67,"rain,snow",,,68.2,45.9,301.4,1018.7,46.7,15.4,232.5,20.2,8,,2011-03-07T06:32:03,2011-03-07T18:06:53,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-08,10,-0.2,5.4,10,-3.3,3.9,-7.3,42.8,0,0,0,,,,25.9,14.4,81.1,1031.9,64.6,16,166,14.6,6,,2011-03-08T06:30:33,2011-03-08T18:07:55,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-09,8.9,2,5.7,6,-0.7,3,2,77.5,0.46,100,4.17,rain,,,37.1,25.1,100.1,1030.4,94.2,15.9,66.2,5.6,3,,2011-03-09T06:29:02,2011-03-09T18:08:56,0.09,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-10,13.1,7.9,10.5,13.1,5.2,9.6,10.3,98.3,31.75,100,100,rain,,,63.9,37.7,154.3,1012.5,99.6,10.2,33.9,2.7,2,,2011-03-10T06:27:30,2011-03-10T18:09:57,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-11,8.9,4.1,6.9,8,0.5,4.3,0.6,66.1,0.71,100,16.67,rain,,,33.5,23.7,301,1011.1,91.4,15.6,208.5,18,8,,2011-03-11T06:25:58,2011-03-11T18:10:57,0.18,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-12,14.2,1.7,7.4,14.2,-2.4,5.6,-0.3,59.5,0.02,100,4.17,rain,,,55.2,32.9,219.3,1013.5,38.9,16,176.2,15.3,7,,2011-03-12T06:24:26,2011-03-12T18:11:58,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-13,15,5.7,10.4,15,1.9,9.4,0.7,52.3,0,0,0,,,,42,27.3,293.1,1018.5,41.5,16,244.7,20.4,8,,2011-03-13T07:22:53,2011-03-13T19:12:58,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington dc,2011-03-14,11,2.7,6.8,11,0.3,5.3,-3.1,51.1,0,0,0,,,,38.9,22.3,248.3,1027.8,72.6,16,194.8,16.8,8,,2011-03-14T07:21:21,2011-03-14T19:13:58,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
